amount,merchant_risk,location_change,multiple_transactions,behavior_score,device_change,ip_change,duplicate_transaction,night_transaction,fraud
6535.81,40,0,0,33,0,0,1,0,1
9349.63,0,0,0,30,0,0,0,0,0
12459.06,0,0,0,17,0,0,0,0,0
22747.04,0,0,0,27,0,0,0,0,0
11126.7,20,0,0,23,0,0,0,0,0
64964.95,20,0,1,23,0,1,1,0,1
88558.43,0,0,0,33,0,0,0,0,1
53932.73,0,0,1,26,0,0,0,0,1
65830.85,0,0,0,13,0,1,0,1,1
86041.3,0,0,0,26,0,0,0,0,0
8402.25,0,0,0,35,0,0,0,0,0
76623.66,20,0,0,33,0,0,0,0,1
86288.92,0,0,1,40,1,0,0,0,1
47491.14,0,0,1,38,0,0,0,0,1
50351.05,0,0,0,2,0,0,0,0,0
52137.63,20,0,0,30,0,0,0,0,1
70093.32,40,0,0,3,1,0,0,0,1
87107.35,0,1,0,24,0,1,0,0,1
55129.74,0,1,0,34,0,1,1,0,1
28251.0,0,0,0,12,0,0,0,0,0
32185.69,40,0,1,32,0,0,0,0,1
73933.83,0,1,0,22,1,0,0,0,1
27178.63,0,0,0,8,0,0,0,1,0
89515.32,0,0,0,10,0,0,0,0,0
23209.65,0,0,0,29,0,0,1,0,1
29876.56,0,0,1,37,0,0,0,0,0
94061.76,0,0,1,19,1,0,0,0,1
38076.87,0,0,1,15,0,0,1,0,1
22875.73,20,0,1,21,0,0,1,0,1
10117.46,40,0,1,14,0,0,0,1,1
58156.15,20,0,0,16,0,0,0,0,0
49723.14,0,0,0,22,0,1,0,0,0
75071.78,20,0,1,19,0,0,1,0,1
78471.88,0,0,0,34,0,0,0,0,0
38679.65,40,0,1,34,0,0,0,0,1
46650.82,40,0,0,33,0,1,0,0,1
49496.6,0,0,0,35,0,0,0,0,0
10320.5,0,0,0,24,1,0,0,0,0
17723.39,0,0,0,28,1,1,0,0,0
55597.63,0,0,0,17,0,0,0,0,0
13752.91,20,0,1,25,0,0,1,0,1
67418.84,40,0,0,17,1,0,0,0,1
